OAK,Oakland,Athletics,1968,2013
KCA,Kansas City,Royals,1969,2013
SE1,Seattle,Pilots,1969,1969
MON,Montreal,Expos,1969,2004
SDN,San Diego,Padres,1969,2013
TEX,Texas,Rangers,1972,2013
TOR,Toronto,Blue Jays,1977,2013
SEA,Seattle,Mariners,1977,2013
FLO,Florida,Marlins,1993,2011
COL,Colorado,Rockies,1993,2013
ANA,Los Angeles,Angels,1997,2013
TBA,Tampa Bay,Rays,1998,2013
ARI,Arizona,Diamondbacks,1998,2013
MIL,Milwaukee,Brewers,1970,2013
WAS,Washington,Nationals,2005,2013
MIA,Miami,Marlins,2012,2013
